GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
blogs,com.example.blogs.exceptions,ApiException,12,0,0,0,6,0,3,0,3,0
blogs,com.example.blogs.exceptions,ResourceNotFoundException,51,30,0,0,9,5,7,1,7,1
blogs,com.example.blogs.exceptions,GlobalExceptionHandler,59,3,0,0,13,1,4,1,4,1
blogs,com.example.blogs.entities,Category,7,29,0,0,1,6,2,7,2,7
blogs,com.example.blogs.entities,Post,25,40,0,0,7,5,8,10,8,10
blogs,com.example.blogs.entities,Comment,9,15,0,0,3,2,3,4,3,4
blogs,com.example.blogs.entities,Role,30,31,0,0,7,6,3,2,3,2
blogs,com.example.blogs.entities,Permission,3,39,0,0,1,6,1,2,1,2
blogs,com.example.blogs.entities,User,57,44,0,0,10,7,11,11,11,11
blogs,com.example.blogs.controllers,UserController,130,7,0,0,30,2,5,2,5,2
blogs,com.example.blogs,BlogsApplication.AdminInitializer,63,17,2,2,18,4,3,2,1,2
blogs,com.example.blogs,BlogsApplication,5,3,0,0,2,1,1,1,1,1
blogs,com.example.blogs.services.implementations,CategoryImplementation,0,126,0,0,0,17,0,10,0,10
blogs,com.example.blogs.services.implementations,UserImplementation,0,251,0,2,0,49,0,17,0,16
blogs,com.example.blogs.services.implementations,PostImplementation,0,402,0,2,0,67,0,23,0,22
blogs,com.example.blogs.services.implementations,FileImplementation,0,57,0,2,0,13,0,4,0,3
blogs,com.example.blogs.services.implementations,CommentImplementation,0,63,0,0,0,9,0,5,0,5
blogs,com.example.blogs.payloads,PostDto,21,44,0,0,2,10,6,11,6,11
blogs,com.example.blogs.payloads,PostResponse,12,33,0,0,4,4,4,9,4,9
blogs,com.example.blogs.payloads,JwtAuthRequest,115,0,22,0,3,0,20,0,9,0
blogs,com.example.blogs.payloads,JwtAuthResponse,116,0,22,0,3,0,20,0,9,0
blogs,com.example.blogs.payloads,CommentDto,0,17,0,0,0,4,0,5,0,5
blogs,com.example.blogs.payloads,UserDto,10,35,0,0,2,6,3,10,3,10
blogs,com.example.blogs.payloads,CategoryDto,0,36,0,0,0,10,0,8,0,8
blogs,com.example.blogs.payloads,ApiResponse,26,0,0,0,5,0,6,0,6,0
blogs,com.example.blogs.Controllers,AuthController,123,7,2,0,27,2,4,2,3,2
blogs,com.example.blogs.security,JwtAuthenticationFilter,84,3,16,0,19,1,9,1,1,1
blogs,com.example.blogs.security,JwtTokenHelper,85,6,4,0,22,2,10,1,8,1
blogs,com.example.blogs.security,CustomUserDetailService,5,3,0,0,1,1,1,1,1,1
blogs,com.example.blogs.Contollers,CommentController,26,3,0,0,4,1,2,1,2,1
blogs,com.example.blogs.Contollers,CategoryController,55,3,0,0,10,1,5,1,5,1
blogs,com.example.blogs.Contollers,PostController,136,3,0,0,25,1,10,1,10,1
blogs,com.example.blogs.config,CustomModelMapper,0,3,0,0,0,1,0,1,0,1
blogs,com.example.blogs.config,CorsConfig,0,51,0,0,0,7,0,2,0,2
blogs,com.example.blogs.config,AppConstants,3,0,0,0,1,0,1,0,1,0
blogs,com.example.blogs.config,SecurityConfig,0,118,0,0,0,23,0,8,0,8
